DATE;CE_PPSM;CE_PPSM1R;CE_PPSM2R;CE_PPSM_3R;CE_PPSM4PR;CE_NOS;C_PPSM;C_PPSM1R;C_PPSM2R;C_PPSM3R;C_PPSM4PR;C_NOS;FO_PPSM;FO_PPSM1R;FO_PPSM2R;FO_PPSM3R;FO_PPSM4PR;FO_NOS;HY_PPSM;HY_PPSM1R;HY_PPSM2R;HY_PPSM3R;HY_PPSM4PR;HY_NOS;KB_PPSM;KB_PPSM1R;KB_PPSM2R;KB_PPSM3R;KB_PPSM4PR;KB_NOS;LB_PPSM;LB_PPSM1R;LB_PPSM2R;LB_PPSM3R;LB_PPSM4PR;LB_NOS;RGH_PPSM;RGH_PPSM1R;RGH_PPSM2R;RGH_PPSM3R;RGH_PPSM4PR;RGH_NOS;SI_PPSM;SI_PPSM1R;SI_PPSM2R;SI_PPSM3R;SI_PPSM4PR;SI_NOS;VI_PPSM;VI_PPSM1R;VI_PPSM2R;VI_PPSM3R;VI_PPSM4PR;VI_NOS;MMA_PPSM;MMA_PPSM1R;MMA_PPSM2R;MMA_PPSM3R;MMA_PPSM4PR;MMA_NOS
09-2021;39013;41053;37784;39047;40972;618;47757;49990;46084;48412;49223;196;19356;17852;18188;19910;20271;52;26710;32140;26091;26116;27014;95;25846;29371;25303;22573;31768;57;38442;36563;38175;40349;36640;55;23272;20003;22570;21003;29343;55;31272;33255;30017;32284;32040;133;41904;45564;41536;40485;41527;151;32619,11111;33976,77778;31749,77778;32242,11111;34310,88889;1412
10-2021;39175;40328;38081;39399;41229;593;47952;48488;46602;48566;49903;191;19025;19647;17865;19004;20407;47;27185;33367;27753;25576;27212;77;26302;28930;25766;24101;29120;46;39196;35329;38277;40504;40147;75;24086;18842;22350;22851;29581;49;31404;33031;30211;33364;29671;112;41701;44254;41497;41063;40888;146;32891,77778;33579,55556;32044,66667;32714,22222;34239,77778;1336
11-2021;39163;40648;37825;39502;41371;513;47701;48019;47181;47916;48249;142;18895;21332;17485;18414;20371;38;27543;35886;27528;25585;27869;98;26071;27848;25667;24955;26913;49;39865;37991;38725;40576;42499;48;23650;21006;22807;22625;27248;50;31943;34004;30869;33060;27743;105;41560;43761;40419;41730;42271;130;32932,33333;34499,44444;32056,22222;32707;33837,11111;1173
12-2021;39058;41556;38611;37953;40698;268;48209;47326;48802;47772;48949;75;18986;22499;17618;17782;20706;28;27610;38461;28290;25051;28013;46;26325;25902;26552;25860;27364;26;39494;43698;37808;39311;42097;37;22959;25988;20368;22773;26545;27;32213;32540;31460;34050;34164;58;42755;47235;41752;42091;43329;59;33067,66667;36133,88889;32362,33333;32515,88889;34651,66667;624
01-2022;39871;41912;38978;39527;41890;413;48788;47659;48698;49488;48861;105;19837;21168;18282;19236;21487;34;27398;34264;27378;25447;30513;92;27062;26817;27130;26498;28522;50;39932;42372;38153;40661;40265;51;23497;26155;21175;22219;27607;42;32438;33109;31296;34175;42974;67;43402;47595;41834;43832;43850;108;33580,55556;35672,33333;32547,11111;33453,66667;36218,77778;962
02-2022;40595;42730;39886;39872;42968;491;49107;48810;48264;49820;50853;150;20477;22083;19460;19749;22107;46;27787;32242;28716;26134;29591;77;27470;29445;27109;26344;29316;42;39754;43735;37825;41182;39693;55;23768;22373;19785;23176;30093;41;34086;34489;32903;36507;40896;83;43956;47709;42822;43394;45390;137;34111,11111;35957,33333;32974,44444;34019,77778;36767,44444;1122
03-2022;41138;42287;39517;41257;45209;605;50024;48566;48711;50894;53244;184;20352;23014;19919;19435;22227;48;28337;31672;28635;27018;30770;108;27341;30732;26571;27233;26888;66;40807;37827;38075;42613;42406;76;24805;21765;22575;23718;30065;48;33491;34393;32416;35654;36495;104;44471;47652;42841;44399;46220;145;34529,55556;35323,11111;33251,11111;34691,22222;37058,22222;1384
04-2022;41007;41593;39353;41629;44099;503;49932;47490;48427;51065;53567;132;20503;22933;20126;19952;21708;49;28504;32859;29257;27283;28135;91;27018;30076;25720;28143;29357;57;41419;36615;38822;43601;42877;62;25003;20707;23295;23986;30253;43;33492;34050;32203;36803;36582;104;44486;48204;43162;43612;46786;125;34596;34947,44444;33373,88889;35119,33333;37040,44444;1166
05-2022;40420;40728;38639;41091;43840;513;49742;46263;48650;50834;52688;154;20096;20792;20042;19707;20716;48;28157;31675;28594;27305;28256;94;26719;28137;25112;28697;29178;58;41856;35198;40219;41892;45388;69;24489;20275;24242;22904;28782;39;32539;32696;31246;35205;38233;88;43930;48614;42248;43361;46247;122;34216,44444;33819,77778;33221,33333;34555,11111;37036,44444;1185
06-2022;39123;38847;37685;39625;42684;453;48305;44996;47412;49143;51046;131;20242;19916;19741;20298;20843;34;27712;31133;27854;26938;28171;96;26497;27464;24655;28397;32315;39;40571;32593;39925;40256;44089;59;24136;20275;23860;22286;27446;37;31676;32173;30304;33083;40709;79;42063;45572;41163;41344;43702;99;33369,44444;32552,11111;32511;33485,55556;36778,33333;1027
07-2022;38398;39157;37061;38151;42662;298;47375;45570;46756;46829;51443;69;19985;24425;19560;18579;20689;36;27444;29721;27352;26653;28860;62;26411;29029;25313;25310;31351;27;39075;35014;39071;38124;42342;31;22061;19412;21356;20890;24909;19;30762;32359;29252;31687;40143;57;41811;45281;40747;41138;43351;86;32591,33333;33329,77778;31829,77778;31929;36194,44444;685
08-2022;37757;38950;36227;37764;41354;403;45537;45000;44543;45185;48876;114;19562;25286;18336;18245;21557;36;26722;31249;26195;25349;29086;70;26621;28928;25485;26173;30530;38;38233;36367;37745;38972;38591;65;22287;30641;20326;22502;24283;24;30341;32214;27867;34937;36382;76;42512;45352;41424;42219;43080;90;32174,66667;34887,44444;30905,33333;32371,77778;34859,88889;916
09-2022;37640;39146;35889;37759;40796;445;45263;45200;43934;45308;47715;129;18807;26376;17814;17500;21742;41;26100;30497;25996;24102;28807;92;25639;28961;25023;25207;24604;52;37603;35721;37498;39046;36310;45;21584;27585;18411;22102;24748;35;31086;32667;28755;35760;31643;80;42486;45145;40733;42885;44019;105;31800,88889;34588,66667;30450,33333;32185,44444;33376;1024
10-2022;36716;37965;35509;36758;39284;386;44190;44236;43199;45160;44712;105;18004;22316;16883;17405;21348;39;25911;31344;26811;23232;28248;75;24393;25298;23398;25823;24957;26;37072;33952;36258;39457;35973;43;21247;25419;18126;21618;25234;29;30415;31355;28615;34616;30366;81;41305;43636;39982;41507;42589;91;31028,11111;32835,66667;29864,55556;31730,66667;32523,44444;875
11-2022;36138;37075;35062;36311;38546;372;44297;42555;43285;45713;45427;102;17667;22262;16844;17149;20340;29;25809;32510;27193;22630;27684;73;22107;22773;21955;22647;20348;33;36429;32796;35144;39413;35578;60;21150;23678;17795;20431;25971;29;29701;31009;28883;31077;27594;66;39815;41789;38564;40180;40877;82;30345,88889;31827,44444;29413,88889;30616,77778;31373,88889;846
